name,imageCover,price,description
Tsavo East and Amboseli National Park,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_011.jpg,835.0,"This safari visiting two national parks affords its participants to have close encounters with elephants, cheetahs, lions etc in both parks, and not forgetting the breathtaking views of Mount Kilimanjaro. This safari can either start from Nairobi or Mombasa depending on the guests arrival destination. Amboseli National Park is also famous for being the best place in Africa to get close to free-ranging elephants among other wildlife species."
Highlights of Kenya Safari Mid Range,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_128.jpg,1020.0,"When considering where to go on your Kenyan safari, the two most likely destinations you’d think of are the Masai Mara and Amboseli. This tour offers you exactly that: plenty of time in two of the most iconic safari destinations in the world. These two areas, although geographically close together, offer different worlds, with landscapes and features unique to each yet both equally accessible."
Lake Nakuru /Maasai Mara-Budget Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Lake_Nakuru_National_Park_026.jpg,740.0,"This tour takes you to Lake Nakuru National Park. Expect to see Lots of Flamingos, Lions, Rhinos and other wildlife! End your tour in Masai Mara! This is the most visited Game reserve in Kenya. All the big Five, Cheetahs and more other animals are here."
The Cliff Lake Nakuru National Park Luxury Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Lake_Nakuru_National_Park_005.jpg,1020.0,"Perched at the top of a 100 metre high rock face sits Lake Nakuru's smartest addition - The Cliff – a 10 room luxury camp. While 'luxury camp' is the simplest description, in reality The Cliff located inside the park defies conventional labels, being a combination of safari lodge, tented camp and boutique hotel, constructed and furnished in a contemporary European style."
The Famous Mara - Mid-Range,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Nairobi_National_Park_018.jpg,700.0,"This is a 3-day safari visiting the most famous national park in Kenya, the Masai Mara. The Masai Mara National Reserve is one of the best places in Africa for wildlife viewing. Game drives are a great way to experience the park and they take place all year round. If the big cats are what you're looking for on your Kenyan safari, you are guaranteed to spot them at the Mara. For bird lovers, the Mara birds come in every colour and size with more than 400 bird species, including birds of prey."
Amboseli National Park & Mt Kilimanjaro Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_023.jpg,663.0,"We'll take you to the foot of Mount Kilimanjaro and get amazing photos of its peak in our 2 days safari. Enjoy amazing game-viewing drives with close-up moments of the huge elephant herds. Take an evening or morning drive and spot the lions as they hunt. The pink flamingos colour the waters of Lake Amboseli. For bird watchers, this is a must-do experience where you get to view over 400 species of birds."
Panoramic Amboseli & Tsavo West Mid - Range Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Tsavo_West_National_Park_009.jpg,883.0,"This tour takes us to Amboseli National Park Amboseli which is known as the best place in Africa for getting up close to free-ranging elephants. The sparse vegetation also provides excellent opportunities for viewing the buffaloes, impalas, lions, cheetahs, hyenas, giraffes, zebras, and wildebeests. The bird life is equally rich especially in the park’s marshes and lakes. Later proceed to Tsavo West National Park is known for bird life and for its large mammal’s though sparsely populated."
"Amboseli NP, Lake Naivasha & Maasai Mara Mid-Range",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Maasai_Village_012.jpg,1518.0,"This Safari will take you to the ""Land of Giants"". Weather permitting, Amboseli national park offers a beautiful vista of the scenic snow-capped Mt. Kilimanjaro which makes it a perfect site for photography. It is the tallest mountain in Africa and the highest free-standing mountain in the world. Then proceed to Lake Naivasha which is located on the floor of the Great Rift Valley with great views. Finally head to the famous Maasai Mara which is an animal paradise."
Maasai Mara Group Safari Using - 4x4 Land Cruiser,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_043.jpg,350.0,"Maasai Mara National Reserve is an area of preserved savannah wilderness in southwestern Kenya, along the Tanzanian border. Its animals include lions, cheetahs, elephants, zebras and hippos. Wildebeest traverse its plains during their annual migration. The landscape has grassy plains and rolling hills, and is crossed by the Mara and Talek rivers. The area nearby is dotted with villages (enkangs) of Maasai people. Explore the wilds of Masaai Mara in this 3-day, 2-night safari."
The Unbeaten Paths of Kenya,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_101.jpg,3409.0,"This tour takes you to Aberdare, Samburu, Lake Nakuru and Maasai Mara. With this itinerary, we are eager to show more of Kenyan wildlife and landscapes. All our tours are customisable and flexible to any change. This tour offers bush breakfast and sundowner. We make sure that you are going back home with a handful of African experiences. For more than 2 travellers, kindly contact still there's a window for you."
Maasai Mara and Nakuru,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_035.jpg,1390.0,"This tour takes you to the famous maasai mara national reserve then to lake Nakuru one of the most visited lake along the Great rift valley. The tour gives you a chance to view all the big Five's, Migration of wildebeest in the months of July to September and abundant bird life. Accommodation is provided in Mid range lodges and tented camps. Meals on safari are on full board basis and bed and breakfast in Nairobi."
Best of Kenya's Parks Midrange Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_020.jpg,1808.0,"This 6day memorable safari, offers you a chance to visit 3 of the best parks in Kenya. Let us take you to Amboseli where Mount Kilimanjaro can be seen standing tall and proud across the border in Tanzania, then to Lake Nakuru National Park with over 400 species of birds and finally to the great Masai Mara where you will be able to spot the big five amidst other wildlife species. Embark on this incredible safari with us."
The Jewel of Kenya,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Maasai_Village_009.jpg,3074.0,"The tour takes you to 4 beautiful parks in Kenya especially Amboseli which lies on the floor of Africa's highest Mt. Kilimanjaro. One of Kenya’s most famous parks. Lake Nakuru is best known for its thousands of lesser flamingos nesting along the shores, rich in wildlife viewing. Visit the rolling plains of Masai Mara, where spectacular wildebeest migration happens, and visit Lake Naivasha. The tour offers a boat ride, bush breakfast and sundowner. More than 2 travellers can book this tour."
"Amboseli, Lake Nakuru, Masai Mara Road Package",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_083.jpg,1870.0,"A 6day road safari encompassing Kenya’s top National Parks and Reserve. See Amboseli National Park, famous for its views of Mount Kilimanjaro and elephants, Lake Nakuru with its diverse wildlife and distinctive lakes, and the world-renowned Masai Mara. This safari is ideal for those want to see the best of Kenya starting from Nairobi head to Amboseli – famous for its views of Mount Kilimanjaro – then through the Great Rift Valley to Lake Nakuru National Park before ending in the Masai Mara."
"Amboseli, Lake Nakuru, Masai Mara Road Package",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_039.jpg,1500.0,"A 5 day road safari encompassing Kenya’s top National Parks and Reserve. See Amboseli National Park, famous for its views of Mount Kilimanjaro and elephants, Lake Nakuru with its diverse wildlife and distinctive lakes, and the world-renowned Masai Mara. This safari is ideal for those want to see the best of Kenya starting from Nairobi head to Amboseli – famous for its views of Mount Kilimanjaro – then through the Great Rift Valley to Lake Nakuru National Park before ending in the Masai Mara."
"Aberdares, Lake Nakuru, Masai Mara Tour Package",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Lake_Bogoria_National_Reserve_025.jpg,1740.0,"This 5 days safari package will take you to Aberdare, Lake Nakuru and Masai Mara National Reserve. Picturesque, steep forested ravine and open moorland characterize the Aberdare national Park. on the floor of the Rift Valley, surrounded by wooded and bushy grassland, lie the beautiful Lake Nakuru National Park. drive west past Mount Longonot and via Narok to the world-renowned Masai Mara one of the seven wonders of the world due to its Annual Wildebeest Migration which occurs in July and August."
Budget Kenya & Tanzania Wildlife Group Tour,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_042.jpg,1580.0,"If you want to explore Kenyan and Tanzanian wildlife and the vibrant culture of local people, then Join this group tour to the famous national parks! You will explore the mighty Masai Mara, Serengeti National Park, and the scenic Ngorongoro Crater. Finally, you will visit Amboseli National Park, the home of the elephant. This park also gives you a panoramic view of Mount Kilimanjaro."
Kenya and Tanzania Safari Combine,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Serengeti_National_Park_075.jpg,3500.0,"Enjoy 9 days safari featuring Kenya and Tanzania, the tour starts and ends in Nairobi. You will visit Lake Nakuru, Masai Mara National Reserve, Serengeti, Ngorongoro Crater and Amboseli National Park. Dinner and your overnight stay will be at mid-range tented camps and safari lodges."
Classic Top Kenya Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_024.jpg,2100.0,"This 7 Days safari package will take you to Aberdare, Lake Nakuru, Lake Naivasha and Maasai Mara National Park. Picturesque, steep forested ravines and open moorland characterize the Aberdare National Park. On the floor of the Great Rift Valley, surrounded by wooded and bushy grassland, lies the beautiful Lake Nakuru National Park. A visit to Masai Mara National Reserve will give you a guarantee to watch animals in the most concentrated animal areas in Kenya."
Mid-Range Bush and Beach Adventure,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Mombasa_Beaches_016.jpg,1892.0,"This safari will allow you to enjoy bush experience in three major Kenyan parks thereafter, heading to the coastal sandy beaches of Mombasa. The never ending excitement of your Kenyan bush safari leaves you feeling exhausted and desiring a more relaxed place. The Kenyan coast is a superb location to rejuvenate before returning home. A coastal gate away to Mombasa takes you to a majestic tropical paradise of blue-green waters lapping at long soft sand beaches leaving you yearning for more."
Safari Kenya & Tanzania,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Tarangire_National_Park_034.jpg,1950.0,"For seven days safari, we recommend a visit to Amboseli, Tarangire National Park, Ngorongoro crater and Lake Manyara. Here's a sneak peek of these two incredible parks. Tarangire National Park is located south of Lake Manyara. The river from which the park takes its name is of the primary source of water for the local wildlife, making it the perfect place to spot large concentrations of animals. Ngorongoro Crater is a natural paradise and is considered one of the Seven Natural Wonders of Africa."
Safari (Including Masai Mara) & Zanzibar Extension,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Solio_Ranch_Game_Reserve_002.jpg,2250.0,"This is a 6-day amazing safari with the best of Kenya. Amboseli is the best park in the whole of Africa with stunning views of the Kilimanjaro and Lake Naivasha a unique place where you can do a boat ride among the hippos. Mara is one of the best parks in the world where you can spot the Big Five and witness the Great Migration between July and October. Finally, you can relax and enjoy 3 days in Zanzibar with amazing landscapes."
Luxury Kenya & Tanzania Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Tsavo_East_National_Park_003.jpg,5050.0,"This tour spends five days in Kenya (Lake Naivasha and Masai Mara) and five days in Tanzania (Serengeti National Park, Ngorongoro, and Manyara). You will transfer from Masai Mara to the Serengeti through the Isebania Border. At the end of the tour you may opt to to transfer to Amboseli for one or two nights and then finish the tour in Nairobi (as opposed to ending the tour in Arusha). This tour can also be done in the opposite order (starting in Arusha)."
Kenya Tanzania Budget Joining Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Ruma_National_Park_017.jpg,1775.0,"Want to explore East Africa destinations? If yes, our budget Kenya-Tanzania wildlife and cultural tour will give you an opportunity to learn the culture of the ethnic community, flora and fauna of the region. You will be able to explore abundant wildlife, all the Big Five, beautiful landscapes and meadows of the Mara River. You will be visiting Nairobi, Masai Mara, Lake Nakuru National Park, Amboseli National Park, Arusha town, Tarangire National Park, Serengeti NP and Ngorongoro Crater."
Hotel to Airport Transfer with Wildlife Tour,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Nairobi_National_Park_001.jpg,115.0,"Checking out of the hotel with ample time before you catch your flight? You can utilize that time to visit Nairobi national park before being transferred to the airport. With its unique status as the only park within a capital city in the world, you can enjoy the abundant birdlife of over 400 species and catch sight of four out of five Big Five animals."
Amboseli National Park Mid Range Safari Tour,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_004.jpg,565.0,"Amboseli National Park is one of the most spectacular national parks that offer a wide range of different animal species that include lions, cheetahs, big herds of elephants, wildebeests, zebras and many more. This is also the perfect destination for Ornithologists! There is a lot of Birdlife including flamingos, pelicans, Jacanna and other migrant species. Mount Kilimanjaro sitting majestically to the south gives you the whole concept of not wanting to miss this amazing safari."
"Amboseli, Tsavo West & Salt Lick Mid- Range Safari",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_004.jpg,1250.0,"This tour takes us to Amboseli National Park Amboseli where you get up close to free-ranging elephants, rich wildlife and birdlife. After proceed to Tsavo West National Park is known for bird life, large mammal’s and natural springs. We then take you to Salt Lick Safari Lodge Lodge which has been one of Kenya’s flagship lodges, famed for being among the World’s Most Photographed Lodges. It is a set in Taita Hills Wildlife Sanctuary overlooking a waterhole. Drop of will be at the Kenyan Coast."
Exotic Masai Mara and Lake Nakuru Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Tsavo_East_National_Park_025.jpg,1510.0,Adventure covers both wildlife and geographic destinations like Great Rift Valley. It’s one of the best tour packages to do for a 4 days period. You will explore the Masai Mara National Reserve for 2 nights for a first class game viewing experience of the great wildebeest migration if in season and later visit Lake Nakuru National Park for a chance to view the rare white rhinos and flamingos amidst a variety of other bird species.
Mara Nakuru Amboseli Serengeti Ngorongoro Nairobi,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Mikumi_National_Park_008.jpg,1750.0,"This is a safari tour that covers the 2 most famous East African countries with the best and largest national parks. The safari covers the best parks in Kenya Amboseli, Lake Nakuru and Masai Mara. In Tanzania, it covers Lake Manyara, Serengeti, Ngorongoro Crater and Tarangire National Park. The price provided is for a private safari but a group rate can be requested."
"Masai Mara, Lake Nakuru, Amboseli NP Low-Cost Tour",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Samburu_National_Park_014.jpg,1235.0,"Experience the 6 Days/ 5 Nights Masai Mara NP, Lake Nakuru & Amboseli NP Low-Cost/Budget Tour. The 6 days Kenya budget trip covers the most pleasing Wildlife Parks in Kenya. You will be able to have Kilimanjaro-boasting Amboseli National Park at your feet – overflowing with elephants, the rhinos and flamingos of Lake Nakuru, the geological wonderment of the Great Rift Valley, the unfettered culture of the Masai Mara and its epic kaleidoscope of wildlife species."
3Nights Amazing Wild Safari Sentrim Mara Game Camp,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Maasai_Village_008.jpg,930.0,"This amazing / exciting wild safari tour covers 4days, 3nights in Maasai Mara and includes guests/clients park entry fees, meals on full board(lunch, dinner and breakfast), 6game drives, transport by safari van with a pop up roof for game viewing/photography on private basis, and accommodation at Sentrim Mara Camp. The Camp has an en-suite swimming pool, private built-in toilets, hot showers, and an electric power supply from a generator. Come explore Africa ( Masai Mara Game Reserve ) with us!"
Masai Mara and Lake Nakuru National Park,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_089.jpg,1125.0,"From lions, elephants, wildebeests to bird species, This tours offers the guests ultimate Kenya's wildlife. Guests will experience vast savannahs, lakes filled with colourful birds, parks populated by rhinos, leopards, giraffes, antelopes and more. Not forgetting the spectacular views of the great Rift Valley. The world-famous Masai mara with rolling grassland, acacia trees and immense herds of zebras and wildebeests mixed with the exciting and colourful masai culture."
"Amboseli, Lake Nakuru, Masai Mara Discover Kenya",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Solio_Ranch_Game_Reserve_004.jpg,990.0,"Our 6-day Amboseli, Lake Nakuru, Masai Mara safari starts with game viewing in Amboseli National Park, close to the Tanzanian border flanked by Mount Kilimanjaro. Amboseli is a compact game park, abundant in wildlife, which makes for some excellent game viewing. From Amboseli, we will head to the important wildlife sanctuary of Lake Nakuru National Park, via the Great Rift Valley. Then it's off to the famous Masai Mara National Reserve for game viewing in one of Africa's best game parks."
"Amboseli, Tsavo West, Tsavo East & Taita Saltlick",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_025.jpg,1180.0,"While on this five day tour starting from Nairobi and Ending at the Kenyan Coast in Diani/ Mombasa or Malindi, you will visit Amboseli where you will stay for 1 Night at the Oltukai Lodge, Tsavo West for a night at the Kilaguni Serena Safari Lodge, Tsavo East while stying at the Ashnil Aruba Lodge and finish off a the Taita Saltlick game sancuary staying at the Taita Saltlick Lodge where you will spend one night. This tour can be customised."
Lake Naivasha and Masai Mara Safari (Mid-Range),https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_015.jpg,784.0,"If you are looking for the perfect retreat without breaking the bank, the above Lake Naivasha and Masai Mara safari is ideal. You'll wine and dine in fine mid-range hotels, sample the scenic beauty of Hell's Gate National Park, and embark on epic game drives inside the Masai Mara on your last leg. The Mara reserve is home to the magical Wildebeest Migration, often described as the world's eighth wonder. We assure you of memories to last a lifetime; welcome aboard and enjoy the safari."
Amazing Mid-Range Amboseli Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_013.jpg,680.0,"In Amboseli National Park, elephants roam against a backdrop of Mount Kilimanjaro. Located in southern Kenya, you can take your Kenyan safari through one of the most diverse ecosystems on the planet. Your expert Kenyan safari guides will be able to track the wildlife and give you the best chance to see the fauna that make this place so special. The long dry season in Amboseli means your chances of spotting stunning animals in their natural habitat on your African safari are high."
Magical Kenyan Safari Experience,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_108.jpg,1900.0,"This tour takes you to various national parks, including Tsavo East and Tsavo West. You will take in breathtaking views of the Chyulu hills, the Shetani lava flow, Mzima Springs, and Mount Kilimanjaro. Magical Amboseli, Lake Naivasha, and the Masai Mara complete this amazing safari experience. This tour can start in either Nairobi or Mombasa."
From Kenya to Tanzania - High-End,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Katavi_National_Park_001.jpg,6900.0,"Spend five days in Kenya (Lake Nakuru and Masai Mara) and 5 days in Tanzania (Serengeti National Park, Ngorongoro and Manyara). This tour transfers from Masai Mara to Serengeti through Isebania Border. If you'd like, at the end of the tour, instead of finishing in Arusha, you can transfer to Amboseli for 1 or 2 nights in this national park and finish the tour back in Nairobi. This tour can also be done in the opposite order (starting in Arusha)."
Explore Kenya & Tanzania Wildlife Group Tour,https://cloudfront.safaribookings.com/lib/tanzania/tour/1184x259/Mara_River_008.jpg,1390.0,"Take this adventure which will visit Masai Mara, Nairobi, Ngorongoro Crater, Serengeti National Park, and Arusha town. There, you will be able to see the Big Five. Take part in a half-day game drive in Ngorongoro Crater and exploration of the wildlife as well as the landscape in Serengeti. Enjoy the vast plains of Masai mara."
Nairobi National Park Tour in Kenya,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Ol_Pejeta_Conservancy_008.jpg,115.0,"This excursion is a fantastic way to see wildlife in the only game park located in a capital city in the world. Nairobi National Parks has abundant wildlife. There are over 100 species of mammals and reptiles, and over 400 species of birds. It provides almost a similar experiences as other bigger game parks and reserves."
"Masai Mara, Lake Nakuru, Bogoria and Baringo Tour",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_001.jpg,1358.0,"Experience the stunning land of Masai Mara. Search for the “Big Five” and abundant species of the herbivorous, omnivorous, and carnivorous animal. You can easily spot the stunning wildlife everywhere including, rare animal species and the predators of the savanna. Head to Lake Nakuru, the shallow soda lake famous for its birdlife. This National Park is also home to lion, perilous rhinos and you can possibly be able to spot some photographic view of leopard in the Acacia tree."
Expedition to Masai Mara and Lake Nakuru,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Ruma_National_Park_005.jpg,1430.0,"A stunning motley of wild and rugged landscapes, warm and welcoming people, and an exciting array of creatures both big and small, awaits you on the 4 days trip. Expect an amazing wildebeest migration in the months of July to November every single year."
"Amboseli, Mt Kenya, Samburu, Lk Nakuru, Masai Mara",https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Masai_Mara_National_Reserve_009.jpg,2260.0,"Best of Kenya wildlife lodge safari sampling the most famous game parks and scenery. A combination of wildlife, bird watching and scenery of Kenya the land of beauty. A safari to the foothill of Mt. Kilimanjaro Amboseli, Mount Kenya National Park, en route to Samburu National Reserve home for the special five. Drive on the floor of the Rift Valley, lie the beautiful Lake Nakuru National Park. drive west past Mt. Longonot and to the world-renowned Masai Mara."
Nairobi Full City Tour,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Nairobi_003.jpg,220.0,"During this amazing tour, you get a chance to explore and visit great sites within Nairobi City in Kenya. Various Nairobi National Park within Nairobi City and great historical sites that highlight of the Kenyan history. During this tour will visit the following: David Sheldrick (elephant orphanage), Giraffe center & Masai market. Thereafter will be returned to the respective hotel."
Classic Family Exploration Safari,https://cloudfront.safaribookings.com/lib/kenya/tour/1184x259/Amboseli_National_Park_038.jpg,2300.0,"This trip takes families and friends through Kenya's magnificent parks and lakes. Discover your fantasy animals in Africa with your loved ones. Your Kenyan safari vehicle and guide are private. You can stay longer in some places and skip others, or fly between parks to save time. Changes may cost more."
